Year,Month,Reporting_Airline,total_flights,carrier_cancels,total_cancels,carrier_cancel_rate,carrier_name
2025,1,AA,75088,120,2802.0,0.0015981248668229277,American
2025,1,AS,18163,46,243.0,0.0025326212630072125,Alaska
2025,1,B6,17918,12,323.0,0.0006697176024109834,JetBlue
2025,1,DL,76306,379,2137.0,0.004966844022750504,Delta
2025,1,F9,15526,70,392.0,0.004508566275924256,Frontier
2025,1,G4,9345,13,119.0,0.0013911182450508292,Allegiant
2025,1,HA,6690,47,128.0,0.007025411061285501,Hawaiian
2025,1,MQ,21890,40,1030.0,0.001827318410232983,MQ
2025,1,NK,17544,21,572.0,0.0011969904240766074,Spirit
2025,1,OH,21094,552,1899.0,0.026168578742770458,OH
2025,1,OO,65036,10,1343.0,0.00015376099391106463,OO
2025,1,UA,62007,133,1189.0,0.002144919122034609,United
2025,1,WN,105307,115,3016.0,0.0010920451631895316,Southwest
2025,1,YX,27833,77,1119.0,0.002766500197607157,YX
2025,2,AA,69876,42,925.0,0.0006010647432594882,American
2025,2,AS,16315,106,352.0,0.0064970885688017165,Alaska
2025,2,B6,17685,31,458.0,0.001752897936104043,JetBlue
2025,2,DL,71333,83,164.0,0.0011635568390506498,Delta
2025,2,F9,15440,79,201.0,0.005116580310880829,Frontier
2025,2,G4,9371,16,88.0,0.001707395155266247,Allegiant
2025,2,HA,6013,19,21.0,0.003159820389156827,Hawaiian
2025,2,MQ,19995,6,346.0,0.0003000750187546887,MQ
2025,2,NK,16232,13,179.0,0.0008008871365204534,Spirit
2025,2,OH,19508,816,1987.0,0.04182899323354521,OH
2025,2,OO,59806,28,1055.0,0.0004681804501220613,OO
2025,2,UA,57628,95,181.0,0.0016485041993475394,United
2025,2,WN,100199,153,557.0,0.00152696134691963,Southwest
2025,2,YX,25483,78,891.0,0.003060864105482086,YX
2025,3,AA,82536,59,1255.0,0.0007148395851507221,American
2025,3,AS,18925,76,123.0,0.0040158520475561425,Alaska
2025,3,B6,21304,23,165.0,0.001079609463011641,JetBlue
2025,3,DL,84487,159,416.0,0.0018819463349391032,Delta
2025,3,F9,18846,121,371.0,0.0064204605751883685,Frontier
2025,3,G4,13355,10,79.0,0.0007487832272557095,Allegiant
2025,3,HA,6811,119,119.0,0.017471736896197326,Hawaiian
2025,3,MQ,24032,1,662.0,4.161118508655127e-05,MQ
2025,3,NK,19828,16,215.0,0.0008069396812588259,Spirit
2025,3,OH,21981,80,871.0,0.003639506846822256,OH
2025,3,OO,70517,27,1075.0,0.00038288639618815323,OO
2025,3,UA,66994,99,212.0,0.0014777442756067707,United
2025,3,WN,122432,370,1022.0,0.0030220857292211187,Southwest
2025,3,YX,28824,2,338.0,6.938662225922843e-05,YX
2025,4,AA,82261,92,1178.0,0.0011183914613243215,American
2025,4,AS,19025,66,80.0,0.003469119579500657,Alaska
2025,4,B6,20002,19,42.0,0.0009499050094990501,JetBlue
2025,4,DL,84188,143,430.0,0.0016985793699814701,Delta
2025,4,F9,17451,124,210.0,0.007105609993696636,Frontier
2025,4,G4,10926,4,10.0,0.0003660992128866923,Allegiant
2025,4,HA,6559,61,61.0,0.009300198200945266,Hawaiian
2025,4,MQ,24343,16,601.0,0.0006572731380684385,MQ
2025,4,NK,18303,15,81.0,0.0008195377806916899,Spirit
2025,4,OH,21311,98,456.0,0.004598564121815025,OH
2025,4,OO,69319,7,664.0,0.00010098241463379449,OO
2025,4,UA,64256,81,279.0,0.0012605826693227091,United
2025,4,WN,117622,186,585.0,0.0015813368247436703,Southwest
2025,4,YX,28384,1,237.0,3.5231116121758736e-05,YX
2025,5,AA,86123,50,1309.0,0.0005805650058637066,American
2025,5,AS,21751,86,121.0,0.003953841202703324,Alaska
2025,5,B6,19663,35,96.0,0.00177999288002848,JetBlue
2025,5,DL,89931,97,195.0,0.0010786047080539524,Delta
2025,5,F9,16036,95,167.0,0.005924170616113744,Frontier
2025,5,G4,11079,11,17.0,0.0009928693925444535,Allegiant
2025,5,HA,6985,22,23.0,0.0031496062992125984,Hawaiian
2025,5,MQ,25534,11,595.0,0.00043079815148429546,MQ
2025,5,NK,17744,41,220.0,0.002310640216411181,Spirit
2025,5,OH,22147,255,1003.0,0.011513974804713957,OH
2025,5,OO,72962,12,628.0,0.00016446917573531428,OO
2025,5,UA,67807,153,603.0,0.002256404206055422,United
2025,5,WN,119819,244,626.0,0.0020364049107403667,Southwest
2025,5,YX,28067,3,741.0,0.00010688709160223751,YX
2025,6,AA,85419,254,2096.0,0.0029735773071564876,American
2025,6,AS,22576,119,174.0,0.005271084337349397,Alaska
2025,6,B6,18953,33,121.0,0.0017411491584445734,JetBlue
2025,6,DL,91122,871,1571.0,0.00955861372665218,Delta
2025,6,F9,16058,314,495.0,0.019554116328309876,Frontier
2025,6,G4,13783,29,57.0,0.0021040412101864616,Allegiant
2025,6,HA,6839,9,13.0,0.0013159818686942536,Hawaiian
2025,6,MQ,26837,14,459.0,0.0005216678466296531,MQ
2025,6,NK,17623,31,242.0,0.0017590648584236508,Spirit
2025,6,OH,21161,123,1459.0,0.005812579745758707,OH
2025,6,OO,73660,40,589.0,0.0005430355688297583,OO
2025,6,UA,66324,198,436.0,0.0029853446716120863,United
2025,6,WN,122348,373,756.0,0.00304868081210972,Southwest
2025,6,YX,28872,24,1268.0,0.0008312551953449709,YX
2025,7,AA,87852,333,2959.0,0.0037904657833629286,American
2025,7,AS,23619,390,512.0,0.016512130064778356,Alaska
2025,7,B6,20690,163,1043.0,0.007878202029966168,JetBlue
2025,7,DL,94066,434,1320.0,0.004613781812769758,Delta
2025,7,F9,16409,287,469.0,0.01749040160887318,Frontier
2025,7,G4,13978,40,62.0,0.0028616397195593076,Allegiant
2025,7,HA,7066,36,51.0,0.005094820266062836,Hawaiian
2025,7,MQ,27489,3,637.0,0.00010913456291607552,MQ
2025,7,NK,17307,20,329.0,0.0011556017796267406,Spirit
2025,7,OH,21214,31,1516.0,0.0014612991420759876,OH
2025,7,OO,75877,51,1025.0,0.0006721404378138303,OO
2025,7,UA,69788,354,1218.0,0.005072505301771078,United
2025,7,WN,125677,513,1605.0,0.00408189247038042,Southwest
2025,7,YX,30396,27,2727.0,0.0008882747729964469,YX
2025,8,AA,83024,134,1603.0,0.001613991135093467,American
2025,8,AS,22976,188,247.0,0.008182451253481894,Alaska
2025,8,B6,20204,47,131.0,0.0023262720253415165,JetBlue
2025,8,DL,90313,497,687.0,0.005503083719951724,Delta
2025,8,F9,16697,207,269.0,0.01239743666526921,Frontier
2025,8,G4,10499,3,7.0,0.0002857414991903991,Allegiant
2025,8,HA,6946,14,17.0,0.0020155485171321624,Hawaiian
2025,8,MQ,26564,2,398.0,7.528986598403855e-05,MQ
2025,8,NK,17155,14,93.0,0.0008160886039055669,Spirit
2025,8,OH,20427,81,530.0,0.003965339991188133,OH
2025,8,OO,74150,7,755.0,9.440323668240054e-05,OO
2025,8,UA,68946,527,789.0,0.0076436631566733386,United
2025,8,WN,114519,179,435.0,0.001563059404989565,Southwest
2025,8,YX,29958,101,522.0,0.0033713866079177514,YX
2025,9,AA,77306,555,933.0,0.007179261635578092,American
2025,9,AS,20747,67,132.0,0.0032293825613341686,Alaska
2025,9,B6,16215,8,94.0,0.0004933703361085415,JetBlue
2025,9,DL,84875,51,85.0,0.0006008836524300442,Delta
2025,9,F9,14896,27,51.0,0.0018125671321160043,Frontier
2025,9,G4,6925,1,1.0,0.0001444043321299639,Allegiant
2025,9,HA,6428,11,11.0,0.0017112632233976354,Hawaiian
2025,9,MQ,25170,114,192.0,0.004529201430274136,MQ
2025,9,NK,15058,48,130.0,0.0031876743259397,Spirit
2025,9,OH,19218,41,151.0,0.0021334165886148404,OH
2025,9,OO,69406,4,272.0,5.763190502262052e-05,OO
2025,9,UA,67550,80,176.0,0.0011843079200592153,United
2025,9,WN,110361,55,265.0,0.0004983644584590571,Southwest
2025,9,YX,28284,0,393.0,0.0,YX
2025,10,AA,85483,82,556.0,0.0009592550565609536,American
2025,10,AS,20637,373,425.0,0.01807433250957019,Alaska
2025,10,B6,18401,20,193.0,0.0010868974512254768,JetBlue
2025,10,DL,90097,220,329.0,0.0024418127129649156,Delta
2025,10,F9,16935,47,79.0,0.0027753173900206675,Frontier
2025,10,G4,10470,5,5.0,0.0004775549188156638,Allegiant
2025,10,HA,6616,26,45.0,0.003929866989117291,Hawaiian
2025,10,MQ,27348,6,136.0,0.00021939447125932427,MQ
2025,10,NK,14128,27,156.0,0.0019110985277463193,Spirit
2025,10,OH,20423,4,93.0,0.00019585761151642755,OH
2025,10,OO,71927,16,146.0,0.00022244775953397195,OO
2025,10,UA,71415,101,191.0,0.0014142687110551004,United
2025,10,WN,121588,110,308.0,0.0009046945422245616,Southwest
2025,10,YX,30376,130,542.0,0.004279694495654464,YX
2025,11,AA,78826,87,1670.0,0.0011036967498033643,American
2025,11,AS,19752,67,258.0,0.0033920615633859863,Alaska
2025,11,B6,19818,220,587.0,0.011101019275406196,JetBlue
2025,11,DL,84475,1388,1439.0,0.016430896715004438,Delta
2025,11,F9,17047,88,340.0,0.005162198627324456,Frontier
2025,11,G4,9652,3,78.0,0.0003108164111065064,Allegiant
2025,11,HA,6426,33,125.0,0.005135387488328665,Hawaiian
2025,11,MQ,24683,4,1213.0,0.00016205485556860998,MQ
2025,11,NK,11793,21,270.0,0.0017807173747138134,Spirit
2025,11,OH,19746,5,720.0,0.00025321584118302443,OH
2025,11,OO,68347,6,2964.0,8.778732058466356e-05,OO
2025,11,UA,66691,123,993.0,0.0018443268207104407,United
2025,11,WN,113938,164,1970.0,0.0014393793115554073,Southwest
2025,11,YX,29356,6,1568.0,0.00020438751873552255,YX
2025,12,AA,79859,116,393.0,0.0014525601372418887,American
2025,12,AS,21102,154,307.0,0.0072978864562600705,Alaska
2025,12,B6,20560,96,572.0,0.004669260700389105,JetBlue
