Reporting_Airline,carrier_name,total_flights,carrier_cancels,carrier_cancel_rate
OH,OH,248735,2287,0.009194524292922186
F9,Frontier,198065,1780,0.008986948728952617
AS,Alaska,245588,1738,0.0070768930078016845
DL,Delta,1026332,6049,0.005893804344013438
HA,Hawaiian,80084,443,0.005531691723690125
B6,JetBlue,231413,707,0.003055143833751777
UA,United,795271,2038,0.00256264845568366
AA,American,973653,1924,0.0019760633408411415
WN,Southwest,1391885,2604,0.0018708442148597047
NK,Spirit,194515,348,0.0017890651106598464
YX,YX,346036,505,0.0014593857286525102
G4,Allegiant,130899,147,0.0011230032314990947
MQ,MQ,299322,226,0.0007550397231075565
OO,OO,839821,277,0.00032983219043105613
