Reporting_Airline,carrier_name,total_flights,carrier_cancels,carrier_cancel_rate,engine_related_cancels,avoided_cancels,reduction_pct
OH,OH,248735,2287,0.0091945242929221,412.0,238.0,10.406646261477919
F9,Frontier,198065,1780,0.0089869487289526,320.0,185.0,10.393258426966293
AS,Alaska,245588,1738,0.0070768930078016,313.0,181.0,10.414269275028769
DL,Delta,1026332,6049,0.0058938043440134,1089.0,629.0,10.398412960819972
HA,Hawaiian,80084,443,0.0055316917236901,80.0,46.0,10.383747178329571
B6,JetBlue,231413,707,0.0030551438337517,127.0,73.0,10.325318246110324
UA,United,795271,2038,0.0025626484556836,367.0,212.0,10.40235525024534
AA,American,973653,1924,0.0019760633408411,346.0,200.0,10.395010395010395
WN,Southwest,1391885,2604,0.0018708442148597,469.0,271.0,10.407066052227343
NK,Spirit,194515,348,0.0017890651106598,63.0,36.0,10.344827586206897
YX,YX,346036,505,0.0014593857286525,91.0,53.0,10.495049504950495
G4,Allegiant,130899,147,0.001123003231499,26.0,15.0,10.204081632653061
MQ,MQ,299322,226,0.0007550397231075,41.0,24.0,10.619469026548673
OO,OO,839821,277,0.000329832190431,50.0,29.0,10.469314079422382
